Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	127	127	127	127	127	127	127	10
0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	1024
2	1500	1500	1500	1500	1500	1500	1500	1024
3	3750	3750	3750	3750	3750	3750	3750	1024
4	7000	7000	7000	7000	7000	7000	7000	1024
5	12000	12000	12000	12000	12000	12000	12000	1024
6	20000	20000	20000	20000	20000	20000	20000	1024
7	25000	25000	25000	25000	25000	25000	25000	1024
8	30000	30000	30000	30000	30000	30000	30000	1024
9	45000	45000	45000	45000	45000	45000	45000	1024
10	60000	60000	60000	60000	60000	60000	60000	1024
11	80000	80000	80000	80000	80000	80000	80000	1024
12	120000	120000	120000	120000	120000	120000	120000	1024
13	140000	140000	140000	140000	140000	140000	140000	1024
14	180000	180000	180000	180000	180000	180000	180000	1024
15	200000	200000	200000	200000	200000	200000	200000	1024
16	250000	250000	250000	250000	250000	250000	250000	1024
17	300000	300000	300000	300000	300000	300000	300000	1024
18	350000	350000	350000	350000	350000	350000	350000	1024
19	400000	400000	400000	400000	400000	400000	400000	900
20	450000	450000	450000	450000	450000	450000	450000	900
21	500000	500000	500000	500000	500000	500000	500000	900
22	550000	550000	550000	550000	550000	550000	550000	900
23	600000	600000	600000	600000	600000	600000	600000	900
24	650000	650000	650000	650000	650000	650000	650000	900
25	700000	700000	700000	700000	700000	700000	700000	900
26	750000	750000	750000	750000	750000	750000	750000	900
27	800000	800000	800000	800000	800000	800000	800000	900
28	850000	850000	850000	850000	850000	850000	850000	900
29	900000	900000	900000	900000	900000	900000	900000	800
30	1000000	1000000	1000000	1000000	1000000	1000000	1000000	800
31	1100000	1100000	1100000	1100000	1100000	1100000	1100000	800
32	1200000	1200000	1200000	1200000	1200000	1200000	1200000	800
33	1300000	1300000	1300000	1300000	1300000	1300000	1300000	800
34	1400000	1400000	1400000	1400000	1400000	1400000	1400000	800
35	1600000	1600000	1600000	1600000	1600000	1600000	1600000	800
36	1800000	1800000	1800000	1800000	1800000	1800000	1800000	800
37	2000000	2000000	2000000	2000000	2000000	2000000	2000000	800
38	3000000	3000000	3000000	3000000	3000000	3000000	3000000	800
39	4000000	4000000	4000000	4000000	4000000	4000000	4000000	800
40	5000000	5000000	5000000	5000000	5000000	5000000	5000000	512
41	6000000	6000000	6000000	6000000	6000000	6000000	6000000	512
42	7000000	7000000	7000000	7000000	7000000	7000000	7000000	512
43	8000000	8000000	8000000	8000000	8000000	8000000	8000000	512
44	9000000	9000000	9000000	9000000	9000000	9000000	9000000	512
45	10000000	10000000	10000000	10000000	10000000	10000000	10000000	512
46	11000000	11000000	11000000	11000000	11000000	11000000	11000000	384
47	12000000	12000000	12000000	12000000	12000000	12000000	12000000	384
48	13000000	13000000	13000000	13000000	13000000	13000000	13000000	384
49	14000000	14000000	14000000	14000000	14000000	14000000	14000000	384
50	15000000	15000000	15000000	15000000	15000000	15000000	15000000	384
51	16000000	16000000	16000000	16000000	16000000	16000000	16000000	384
52	17000000	17000000	17000000	17000000	17000000	17000000	17000000	384
53	17500000	17500000	17500000	17500000	17500000	17500000	17500000	384
54	19000000	19000000	19000000	19000000	19000000	19000000	19000000	384
55	20500000	20500000	20500000	20500000	20500000	20500000	20500000	384
56	22000000	22000000	22000000	22000000	22000000	22000000	22000000	384
57	23500000	23500000	23500000	23500000	23500000	23500000	23500000	384
58	25000000	25000000	25000000	25000000	25000000	25000000	25000000	384
59	27000000	27000000	27000000	27000000	27000000	27000000	27000000	384
60	29000000	29000000	29000000	29000000	29000000	29000000	29000000	384
61	31000000	31000000	31000000	31000000	31000000	31000000	31000000	384
62	32500000	32500000	32500000	32500000	32500000	32500000	32500000	384
63	34000000	34000000	34000000	34000000	34000000	34000000	34000000	384
64	35500000	35500000	35500000	35500000	35500000	35500000	35500000	384
65	37000000	37000000	37000000	37000000	37000000	37000000	37000000	256
66	38500000	38500000	38500000	38500000	38500000	38500000	38500000	256
67	40000000	40000000	40000000	40000000	40000000	40000000	40000000	256
68	42000000	42000000	42000000	42000000	42000000	42000000	42000000	256
69	44000000	44000000	44000000	44000000	44000000	44000000	44000000	256
70	46000000	46000000	46000000	46000000	46000000	46000000	46000000	256
71	48000000	48000000	48000000	48000000	48000000	48000000	48000000	256
72	50000000	50000000	50000000	50000000	50000000	50000000	50000000	256
73	52000000	52000000	52000000	52000000	52000000	52000000	52000000	256
74	54000000	54000000	54000000	54000000	54000000	54000000	54000000	256
75	56000000	56000000	56000000	56000000	56000000	56000000	56000000	128
76	58000000	58000000	58000000	58000000	58000000	58000000	58000000	128
77	60000000	60000000	60000000	60000000	60000000	60000000	60000000	128
78	62000000	62000000	62000000	62000000	62000000	62000000	62000000	128
79	64000000	64000000	64000000	64000000	64000000	64000000	64000000	128
80	66000000	66000000	66000000	66000000	66000000	66000000	66000000	128
81	68000000	68000000	68000000	68000000	68000000	68000000	68000000	128
82	70000000	70000000	70000000	70000000	70000000	70000000	70000000	128
83	72000000	72000000	72000000	72000000	72000000	72000000	72000000	128
84	74000000	74000000	74000000	74000000	74000000	74000000	74000000	128
85	76000000	76000000	76000000	76000000	76000000	76000000	76000000	64
86	78000000	78000000	78000000	78000000	78000000	78000000	78000000	64
87	80000000	80000000	80000000	80000000	80000000	80000000	80000000	64
88	85000000	85000000	85000000	85000000	85000000	85000000	85000000	64
89	90000000	90000000	90000000	90000000	90000000	90000000	90000000	64
90	100000000	100000000	100000000	100000000	100000000	100000000	100000000	64
91	200000000	200000000	200000000	200000000	200000000	200000000	200000000	64
92	300000000	300000000	300000000	300000000	300000000	300000000	300000000	64
93	400000000	400000000	400000000	400000000	400000000	400000000	400000000	64
94	500000000	500000000	500000000	500000000	500000000	500000000	500000000	64
95	600000000	600000000	600000000	600000000	600000000	600000000	600000000	64
96	700000000	700000000	700000000	700000000	700000000	700000000	700000000	64
97	800000000	800000000	800000000	800000000	800000000	800000000	800000000	64
98	900000000	900000000	900000000	900000000	900000000	900000000	900000000	64
99	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	64
100	1100000000	1100000000	1100000000	1100000000	1100000000	1100000000	1100000000	64
101	1200000000	1200000000	1200000000	1200000000	1200000000	1200000000	1200000000	64
102	1300000000	1300000000	1300000000	1300000000	1300000000	1300000000	1300000000	64
103	1400000000	1400000000	1400000000	1400000000	1400000000	1400000000	1400000000	64
104	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	64
105	1600000000	1600000000	1600000000	1600000000	1600000000	1600000000	1600000000	64
106	1700000000	1700000000	1700000000	1700000000	1700000000	1700000000	1700000000	64
107	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	32
108	1900000000	1900000000	1900000000	1900000000	1900000000	1900000000	1900000000	32
109	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	32
110	2100000000	2100000000	2100000000	2100000000	2100000000	2100000000	2100000000	16
111	2200000000	2200000000	2200000000	2200000000	2200000000	2200000000	2200000000	16
112	2300000000	2300000000	2300000000	2300000000	2300000000	2300000000	2300000000	16
113	2400000000	2400000000	2400000000	2400000000	2400000000	2400000000	2400000000	15
114	2500000000	2500000000	2500000000	2500000000	2500000000	2500000000	2500000000	14
115	2600000000	2600000000	2600000000	2600000000	2600000000	2600000000	2600000000	13
116	2700000000	2700000000	2700000000	2700000000	2700000000	2700000000	2700000000	12
117	2800000000	2800000000	2800000000	2800000000	2800000000	2800000000	2800000000	11
118	2900000000	2900000000	2900000000	2900000000	2900000000	2900000000	2900000000	10
119	3000000000	3000000000	3000000000	3000000000	3000000000	3000000000	3000000000	9
120	3100000000	3100000000	3100000000	3100000000	3100000000	3100000000	3100000000	8
121	3200000000	3200000000	3200000000	3200000000	3200000000	3200000000	3200000000	7
122	3300000000	3300000000	3300000000	3300000000	3300000000	3300000000	3300000000	6
123	3400000000	3400000000	3400000000	3400000000	3400000000	3400000000	3400000000	5
124	3500000000	3500000000	3500000000	3500000000	3500000000	3500000000	3500000000	4
125	3600000000	3600000000	3600000000	3600000000	3600000000	3600000000	3600000000	3
126	3700000000	3700000000	3700000000	3700000000	3700000000	3700000000	3700000000	2
127	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	1
