Level	L-AC	L-AC(N)	L-AC(H)	L-TH	L-TH(N)	L-TH(H)	L-HP	L-HP(N)	L-HP(H)	L-DM	L-DM(N)	L-DM(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	108	173	6	64	86	6	74	553	1	2	3	30	78	117
2	12	120	190	9	75	101	8	79	568	2	3	5	40	104	156
3	18	132	208	14	86	116	10	84	583	2	3	5	50	131	197
4	24	144	226	20	97	132	13	87	598	3	4	5	60	156	234
5	30	156	243	28	108	147	15	92	613	3	4	5	70	182	273
6	36	168	261	36	118	162	18	97	628	4	6	7	80	207	311
7	42	180	278	44	129	177	20	101	643	4	6	7	90	234	351
8	48	192	296	53	140	192	24	106	658	5	7	9	100	260	390
9	54	204	314	62	151	208	27	109	673	6	8	11	110	285	428
10	60	216	331	71	162	223	31	114	688	6	8	11	120	312	468
11	66	228	349	80	172	238	32	119	703	7	9	12	130	338	507
12	72	240	366	88	183	253	36	123	718	7	9	12	140	363	545
13	78	252	384	97	194	268	39	128	733	8	10	14	154	401	602
14	84	264	402	106	205	284	43	132	748	9	11	16	169	440	660
15	90	276	419	115	216	299	46	137	763	9	11	16	186	482	723
16	96	288	437	124	226	314	50	142	778	10	13	17	205	533	800
17	102	300	454	132	237	329	54	146	793	10	13	17	225	584	876
18	108	312	472	141	248	344	57	151	808	11	14	18	248	644	966
19	114	324	490	150	259	360	61	154	823	12	15	20	273	708	1062
20	120	336	507	159	270	375	65	159	838	12	15	20	300	779	1169
21	126	348	525	168	280	390	70	165	853	13	17	22	330	857	1286
22	132	360	542	176	291	405	75	170	868	13	17	22	363	942	1413
23	138	372	560	185	302	420	80	173	883	14	18	23	399	1035	1553
24	144	384	578	194	313	436	84	178	898	15	18	25	439	1139	1709
25	150	396	595	203	324	451	90	182	913	15	18	25	470	1220	1830
26	156	408	613	212	334	466	95	187	928	16	20	26	503	1305	1958
27	162	420	630	220	345	481	101	192	943	16	20	26	538	1397	2096
28	168	432	648	229	356	496	108	196	958	17	21	28	576	1494	2241
29	174	444	666	238	367	512	113	200	973	18	22	29	616	1598	2397
30	180	456	683	247	378	527	120	224	988	18	22	29	659	1709	2564
31	186	468	701	256	388	542	127	248	1003	19	24	31	706	1832	2748
32	192	480	718	264	399	557	135	271	1018	19	24	31	755	1958	2937
33	198	492	736	273	410	572	142	296	1033	19	25	33	808	2097	3146
34	204	504	754	282	421	588	149	319	1048	20	26	34	864	2241	3362
35	210	516	771	291	432	603	156	343	1063	20	26	34	925	2399	3599
36	216	528	789	300	442	618	163	367	1078	21	27	36	990	2568	3852
37	222	540	806	308	453	633	171	391	1093	21	27	36	1059	2745	4118
38	228	552	824	317	464	648	178	415	1108	22	28	37	1133	2939	4409
39	234	564	842	326	475	664	185	438	1123	23	29	39	1212	3144	4716
40	240	576	859	335	486	679	193	462	1138	23	29	39	1297	3365	5048
41	246	588	877	344	496	694	202	487	1153	24	31	40	1388	3600	5400
42	252	600	894	352	507	709	210	510	1168	24	31	40	1485	3852	5778
43	258	612	912	361	518	724	218	534	1183	25	32	42	1589	4121	6182
44	264	624	930	370	529	740	227	557	1198	26	33	44	1693	4409	6614
45	270	636	947	379	540	755	235	582	1213	26	33	44	1797	4718	7077
46	276	648	965	388	550	770	243	606	1228	27	35	45	1901	5051	7577
47	282	660	982	396	561	785	252	630	1243	27	35	45	2005	5402	8103
48	288	672	1000	405	572	800	261	654	1258	28	36	47	2109	5783	8675
49	294	684	1018	414	583	816	269	677	1273	29	36	48	2213	6186	9279
50	300	696	1035	423	594	831	279	702	1288	29	36	48	2317	6618	9927
51	306	708	1053	432	604	846	288	725	1303	30	38	50	2421	7080	10620
52	312	720	1070	440	615	861	297	749	1318	30	38	50	2525	7506	11259
53	318	732	1088	449	626	876	307	773	1333	31	39	51	2629	7956	11934
54	324	744	1106	458	637	892	316	797	1353	32	40	53	2733	8435	12653
55	330	756	1123	467	648	907	326	821	1383	32	40	53	2837	8942	13413
56	336	768	1141	476	658	922	336	845	1423	33	42	55	2941	9477	14216
57	342	780	1158	484	669	937	345	868	1481	33	42	55	3045	10044	15066
58	348	792	1176	493	680	952	355	893	1538	34	43	56	3149	10647	15971
59	354	804	1194	502	691	968	365	916	1596	35	44	57	3253	11286	16929
60	360	816	1211	511	702	983	376	940	1653	35	44	57	3357	11964	17946
61	366	828	1229	520	712	998	387	965	1711	36	45	59	3461	12680	19020
62	372	840	1246	528	723	1013	397	988	1768	36	45	59	3565	13442	20163
63	378	852	1264	537	734	1028	408	1012	1826	37	46	61	3669	14249	21374
64	384	864	1282	546	745	1044	419	1036	1883	37	46	61	3773	15104	22656
65	390	876	1299	555	756	1059	429	1060	1941	38	47	62	3877	16010	24015
66	396	888	1317	564	766	1074	440	1084	1998	38	49	64	3981	16916	25374
67	402	900	1334	572	777	1089	450	1108	2056	38	49	64	4085	17822	26733
68	408	912	1352	581	788	1104	461	1131	2113	39	50	66	4189	18728	28092
69	414	924	1370	590	799	1120	472	1155	2171	40	51	68	4293	19634	29451
70	420	936	1387	599	810	1135	485	1179	2228	40	51	68	4397	20540	30810
71	426	948	1405	608	820	1150	496	1204	2286	41	53	68	4501	21446	32169
72	432	960	1422	616	831	1165	508	1227	2343	41	53	68	4605	22352	33528
73	438	972	1440	625	842	1180	521	1251	2401	42	54	70	4709	23258	34887
74	444	984	1458	634	853	1196	532	1274	2458	43	54	72	4813	24164	36246
75	450	996	1475	643	864	1211	544	1299	2516	43	54	72	4917	25070	37605
76	456	1008	1493	652	874	1226	556	1323	2573	44	56	73	5021	25976	38964
77	462	1020	1510	660	885	1241	568	1346	2631	44	56	73	5125	26882	40323
78	468	1032	1528	669	896	1256	580	1371	2688	45	57	75	5229	27788	41682
79	474	1044	1546	678	907	1272	592	1394	2746	46	58	77	5333	28694	43041
80	480	1056	1563	687	918	1287	605	1418	2803	46	58	77	5437	29600	44400
81	486	1068	1581	696	928	1302	619	1442	2861	47	60	79	5541	30506	45759
82	492	1080	1598	704	939	1317	631	1466	2918	47	60	79	5645	31412	47118
83	498	1092	1616	713	950	1332	645	1490	2976	48	61	79	5749	32318	48477
84	504	1104	1634	722	961	1348	658	1514	3033	48	61	79	5853	33224	49836
85	510	1116	1651	731	972	1363	671	1537	3091	49	62	81	5957	34130	51195
86	516	1128	1669	740	982	1378	684	1562	3148	50	63	83	6061	35036	52554
87	522	1140	1686	748	993	1393	697	1585	3206	50	63	83	6165	35942	53913
88	528	1152	1704	757	1004	1408	711	1610	3263	51	64	85	6269	36848	55272
89	534	1164	1722	766	1015	1424	724	1633	3321	52	65	86	6373	37754	56631
90	540	1176	1739	775	1026	1439	738	1657	3378	52	65	86	6477	38660	57990
91	546	1188	1757	784	1036	1454	753	1682	3436	53	66	88	6581	39566	59349
92	552	1200	1774	792	1047	1469	767	1705	3493	53	66	88	6685	40472	60708
93	558	1212	1792	801	1058	1484	781	1729	3551	54	68	89	6789	41378	62067
94	564	1224	1810	810	1069	1500	795	1752	3608	55	69	90	6893	42284	63426
95	570	1236	1827	819	1080	1515	810	1777	3666	55	69	90	6997	43190	64785
