Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
Bishibosh	Bishibosh	fallenshaman1	0		8	9	0	2	2	0	1	0		11	11	11	Act 1 Super Ax	Act 1 (N) Super Ax	Act 1 (H) Super Ax	0
Bonebreak	Bonebreak	skeleton1	1		5	8	0	5	5	0	1	0		5	5	5	Act 1 Super Ax	Act 1 (N) Super Ax	Act 1 (H) Super Ax	0
Coldcrow	Coldcrow	cr_archer1	2		18	0	0	4	4	0	1	0		18	18	18	Act 1 Super Ax	Act 1 (N) Super Ax	Act 1 (H) Super Ax	0
Rakanishu	Rakanishu	fallen2	3		17	6	0	8	8	0	0	0	1	29	29	29	Act 1 Super Bx	Act 1 (N) Super Bx	Act 1 (H) Super Bx	0
Treehead WoodFist	Treehead WoodFist	brute2	4		5	6	0	2	2	0	1	0	1	4	4	4	Act 1 Super Bx	Act 1 (N) Super Bx	Act 1 (H) Super Bx	0
Griswold	Griswold	griswold	5		7	5	6	0	0	0	1	0	1	17	17	17	Griswold	Griswold (N)	Griswold (H)	0
The Countess	The Countess	corruptroguec	6	countess	9	27	13	8	9	0	1	0		16	16	16	Countess	Countess (N)	Countess (H)	0
Pitspawn Fouldog	Pitspawn Fouldog	bighead2	7		7	18	0	4	4	0	1	0		31	31	31	Act 1 Super Bx	Act 1 (N) Super Bx	Act 1 (H) Super Bx	0
Flamespike the Crawler	Flamespike the Crawler	quillrat4	8		9	7	0	6	6	0	1	0		16	16	16	Act 1 Super Cx	Act 1 (N) Super Cx	Act 1 (H) Super Cx	0
Boneash	Boneash	skmage_pois3	9		8	5	18	0	0	0	1	0		15	15	15	Act 1 Super Cx	Act 1 (N) Super Cx	Act 1 (H) Super Cx	0
Radament	Radament	radament	10		6	0	0	3	3	0	1	0		30	30	30	Radament	Radament (N)	Radament (H)	0
Bloodwitch the Wild	Bloodwitch the Wild	pantherwoman1	11		5	7	0	5	5	0	1	0		29	29	29	Act 2 Super Ax	Act 2 (N) Super Ax	Act 2 (H) Super Ax	0
Fangskin	Fangskin	clawviper3	12		17	6	5	4	4	0	1	0		14	14	14	Act 2 Super Bx	Act 2 (N) Super Bx	Act 2 (H) Super Bx	0
