npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	256	1024	128	4	1024	1024	1024									5000	40000	100000
charsi	256	1024	128	4	1024	1024	1024									5000	40000	100000
akara	256	1024	128	4	1024	1024	1024									5000	40000	100000
lysander	256	1024	128	9	1024	1024	1024									10000	50000	100000
drognan	256	1024	128	9	1024	1024	1024									10000	50000	100000
elzix	256	1024	128	9	1024	1024	1024									10000	50000	100000
fara	256	1024	128	9	1024	1024	1024									10000	50000	100000
hratli	256	1024	128	17	1024	1024	1024									15000	60000	100000
alkor	256	1024	128	17	1024	1024	1024									15000	60000	100000
ormus	256	1024	128	17	1024	1024	1024									15000	60000	100000
asheara	256	1024	128	17	1024	1024	1024									15000	60000	100000
jamella	256	1024	128	41	1024	1024	1024									20000	70000	100000
halbu	256	1024	128	41	1024	1024	1024									20000	70000	100000
malah	256	1024	128	41	1024	1024	1024	35	1024	1024	1024					25000	80000	100000
drehya	256	1024	128	41	1024	1024	1024	35	1024	1024	1024					25000	80000	100000
larzuk	256	1024	128	41	1024	1024	1024	35	1024	1024	1024					25000	80000	100000
nihlathak town	256	1024	128	41	1024	1024	1024	35	1024	1024	1024					25000	80000	100000
